PF_CORP, COMPANY, LEGAL_NAME, DBA_NAME, ADDRESS1, ADDRESS2, CITY, STATE, POSTAL, NAICS, FEDERAL_EIN, STATE_DOL#, LEGAL_STATUS, CLIENT_PHONE, CLIENT_FAX, EMAIL_ADDR, FILING_DESCR, ADDRESS1_1, ADDRESS2_1, CITY_1, STATE_1, POSTAL_1, DBL_MALES, DBL_FEMALES, PFL_MALES, PFL_FEMALES, COVERED_ANNUAL_PAYROLL, STATUS, STATUS_DATE, CANCEL_REASON
"PEOUS","II0","Pico Imports Corp."," ","463 Seventh Avenue","Room 1500","New York","NY",10018,"424320", 261711464, ,"Corporation"," "," "," ","Pico Imports Corporation-HQ","463 Seventh Avenue","Room 1500","New York","NY",10018,5,2,5,2,1082100,"ADD",04/11/2018," "
"PEO01","DZX","Stonington Capital Advisors, LLC"," ","183 Madison Avenue","Suite 1515","New York","NY",10016,"523930", 800825428, ,"Limited Liability Company"," "," "," ","Stonington Capital Advisors-HQ","183 Madison Avenue","Suite 1515","New York","NY",10016,1,0,1,0,23660,"ADD",04/11/2018," "
"PEO02","FY2","Tremblant Capital Group"," ","767 5th Ave.","Floor 12A","New York","NY",10153,"523930", 830349287, ,"Corporation"," "," "," ","Tremblant Capital Group-HQ","767 5th Ave.","Floor 12A","New York","NY",10153,22,10,22,10,7066400,"ADD",04/11/2018," "
"PEOUS","OIE","Arkadium Inc."," ","40 West 25th Street","4th Floor","New York","NY",10010,"519130", 134175928, ,"Corporation"," "," "," ","Arkadium-HQ","40 West 25th Street","4th Floor","New York","NY",10010,21,11,21,11,3692956,"ADD",04/11/2018," "
"PEO01","KK2","RStudio, Inc"," ","250 Northern Avenue","Suite 420","Boston","MA",02210,"511210", 264457115, ,"Corporation"," "," "," ","Remote NY",,,,"NY",,1,0,1,0,95000,"ADD",04/11/2018," "
"PEOUS","JM4","Thing Daemon, Inc."," ","96 Spring St","Fl 5","New York","NY",10012,"518210", 272461871, ,"Corporation"," "," "," ","FANCY-HQ","96 Spring St","Fl 5","New York","NY",10012,13,4,13,4,2031000,"ADD",04/11/2018," "
"PEOUS","TSN","Park Avenue Medical Aesthetics PC"," ","37 Union Square West","4th Floor","New York","NY",10003,"621111", 811415924, ,"Corporation"," "," "," ","Park Avenue Medical Aesthet-HQ","37 Union Square West","4th Floor","New York","NY",10003,0,3,0,3,274320,"ADD",04/11/2018," "
"PEOUS","OPL","OurCrowd Management US Inc"," ","650 Fifth Avenue","31st Floor","New York","NY",10019,"519130", 462338792, ,"Corporation"," "," "," ","OurCrowd Management US Inc-HQ","650 Fifth Avenue","31st Floor","New York","NY",10019,2,1,2,1,459004,"ADD",04/11/2018," "
"PEOUS","U6Y","vFramework, LLC"," ","234 Fifth Ave, Fl 2",,"New York","NY",10001,"511210", 453366983, ,"Corporation"," "," "," ","vFramework, LLC-HQ","234 Fifth Avenue","Floor 2","New York","NY",10001,1,0,1,0,28000,"ADD",04/11/2018," "
"PEOUS","MJF","Cherre, Inc."," ","1460 Broadway",,"New York","NY",10036,"511210", 371808571, ,"Corporation"," "," "," ","Cherre, Inc.-HQ","1460 Broadway",,"New York","NY",10036,3,1,3,1,350000,"ADD",04/11/2018," "
"PEOUS","PDE","MKM Ventures, LLC"," ","7 Dana Road","Room 101","Valhalla","NY",10595,"334510", 454292883, ,"Limited Liability Company"," "," "," ","MKM Ventures, LLC-HQ","7 Dana Road","Room 101","Valhalla","NY",10595,6,0,6,0,576873,"ADD",04/11/2018," "
"PEOUS","P4P","Runway Management Services, Inc."," ","205 N Michigan Ave","Suite 930","Chicago","IL",60601,"523920", 814833026, ,"Corporation"," "," "," ","New York Office","110 Greene Street","Suite 604","New York","NY",10012,3,1,3,1,520000,"ADD",04/11/2018," "
"PEOUS","LF5","Rampulla Associates Architects"," ","155 3rd Street",,"Staten Island","NY",10306,"541310", 133897500, ,"Corporation"," "," "," ","Rampulla Associates Archite-HQ","155 3rd Street",,"Staten Island","NY",10306,6,5,6,5,1184643,"ADD",04/11/2018," "
"PEO01","DRM","The Flatiron Grp LLC"," ","55 Fifth Avenue","18th Floor","New York","NY",10003,"561312", 202398412, ,"Limited Liability Company"," "," "," ","The Flatiron Grp LLC-HQ","55 Fifth Avenue","18th Floor","New York","NY",10003,1,2,1,2,98310,"ADD",04/11/2018," "
"PEOUS","8VK","Andrea Electronics Corporation"," ","620 Johnson Ave","Suite 1B","Bohemia","NY",11716,"334118", 110482020, ,"Corporation"," "," "," ","Andrea Electronics Corporat-HQ","620 Johnson Ave","Suite 1B","Bohemia","NY",11716,4,3,4,3,729516,"ADD",04/11/2018," "
"PEOUS","CF3","MDB LLC"," ","32 West 22nd Street","6th Floor","New York","NY",10010,"561920", 262088569, ,"Limited Liability Company"," "," "," ","GreenPearl-HQ","32 West 22nd Street","6th Floor","New York","NY",10010,7,11,7,11,1150100,"ADD",04/11/2018," "
"PEOUS","C18","iBio, Inc."," ","600 Madison Ave","Suite 1601","New York","NY",10022-1737,"541713", 262797813, ,"Corporation"," "," "," ","Remote NY",,,,"NY",,2,1,2,1,636000,"ADD",04/11/2018," "
"PEOUS","NK5","Semperis, Inc"," ","250 Greenwich Street","10th Floor","New York","NY",10007,"511210", 383980423, ,"Corporation"," "," "," ","Semperis, Inc-2016-HQ","250 Greenwich Street","10th Floor","New York","NY",10007,1,3,1,3,356200,"ADD",04/11/2018," "
"PEOUS","NK4","Canidium, LLC"," ","3801 Kirby Dr","Suite 456","Houston","TX",77098,"541611", 262267289, ,"Limited Liability Company"," "," "," ","Remote NY",,,,"NY",,1,0,1,0,120686,"ADD",04/11/2018," "
"PEOUS","DX7","The Financial Clinic"," ","254 36th Street","Suite B321","Brooklyn","NY",11232,"813319", 760833915, ,"Corporation"," "," "," ","The Financial Clinic-HQ","254 36th Street","Suite B321","Brooklyn","NY",11232,19,44,19,44,2709209,"ADD",04/11/2018," "
"PEOUS","M74","Communal Creative, LLC"," ","401 Park Ave South","10th Floor","New York","NY",10016,"541430", 475015106, ,"Corporation"," "," "," ","Communal Creative-HQ","401 Park Ave South","10th Floor","New York","NY",10016,0,1,0,1,75000,"ADD",04/11/2018," "
"PEO05","QCA","VAL-PAK OF STATEN ISLAND, INC"," ","4553 ARTHUR KILL RD",,"STATEN ISLAND","NY",10309,"541613", 133996789, ,"Corporation"," "," "," ","VAL-PAK OF STATEN ISLAND, I-HQ","4553 ARTHUR KILL RD",,"STATEN ISLAND","NY",10309,8,10,8,10,776334,"ADD",04/11/2018," "
"PEO05","RPW","MASTER MECHANICAL CORP"," ","75 VERDI ST",,"FARMINGDALE","NY",11735,"238220", 113243662, ,"Corporation"," "," "," ","MASTER MECHANICAL CORP-HQ","75 VERDI ST",,"FARMINGDALE","NY",11735,25,6,25,6,2127926,"ADD",04/11/2018," "
"PEOUS","NM1","Merson Law PLLC"," ","150 E 58th Street","34 Floor","New York","NY",10155,"541110", 810896602, ,"Limited Liability Company"," "," "," ","Merson Law PLLC-HQ","150 E 58th Street","34 Floor","New York","NY",10155,3,8,3,8,386950,"ADD",04/11/2018," "
"PEOUS","IS5","Three Keys Holdings, LLC"," ","250 Park Avenue","7th Floor","New York","NY",10177,"523110", 463146331, ,"Limited Liability Company"," "," "," ","Three Keys Capital Advisors-HQ","250 Park Avenue","7th Floor","New York","NY",10177,3,1,3,1,146250,"ADD",04/11/2018," "
"PEOUS","BL0","Fyber, Inc."," ","785 Market Street","Suite1200","San Francisco","CA",94103,"541613", 990368186, ,"Corporation"," "," "," ","NY Office","79 Madison Avenue",,"New York","NY",10016,2,1,2,1,255080,"ADD",04/11/2018," "
"PEOUS","E4F","Nishkama Capital LLC"," ","489 5th Avenue","Suite 24B","New York","NY",10017,"525910", 462212693, ,"Limited Liability Company"," "," "," ","Nishkama Capital LLC-HQ","489 5th Avenue","Suite 24B","New York","NY",10017,3,0,3,0,580000,"ADD",04/11/2018," "
"PEOUS","L7V","ODA-Architecture, P.C."," ","250 Park Avenue South","Third Floor","New York","NY",10003,"541310", 260749848, ,"Corporation"," "," "," ","ODA Architecture-HQ","250 Park Avenue South","Third Floor","New York","NY",10003,34,32,34,32,5516528,"ADD",04/11/2018," "
"PEO01","CZ7","Eleos Technologies, LLC"," ","200 N Main Street",,"Greenville","SC",29601,"541511", 452204267, ,"Limited Liability Company"," "," "," ","Remote NY",,,,"NY",,1,0,1,0,170000,"ADD",04/11/2018," "
"PEOUS","LKQ","Grability, Inc."," ","379 West Broadway","Ste. 506","New York","NY",10012,"511210", 463105409, ,"Corporation"," "," "," ","Grability-HQ","379 West Broadway","Ste. 506","New York","NY",10012,1,0,1,0,110000,"ADD",04/11/2018," "
"PEOUS","JCG","Orchard View Capital Advisors LP"," ","485 Madison Avenue","Suite 711","New York","NY",10022,"523920", 473039552, ,"Limited Partnership"," "," "," ","Orchard View Capital Adviso-HQ","485 Madison Avenue","Suite 711","New York","NY",10022,2,0,2,0,135100,"ADD",04/11/2018," "
"PEOUS","OYI","Tendr, Inc."," ","47 Bergen Street 3rd FL",,"Brooklyn","NY",11201,"519130", 461729568, ,"Corporation"," "," "," ","Tendr, Inc.-HQ","47 Bergen Street 3rd FL",,"Brooklyn","NY",11201,2,0,2,0,180000,"ADD",04/11/2018," "
"PEO02","UM0","Otsego SG LLC"," ","1290 Avenue of Americas","17th Floor","New York","NY",10104,"541110", 823670019, ,"Limited Liability Company"," "," "," ","Otsego SG LLC-HQ","1290 Avenue of Americas","17th Floor","New York","NY",10104,2,3,2,3,795000,"ADD",04/11/2018," "
"PEOUS","OWF","Rocket.Chat Technologies Corp."," ","2711 Centerville Road","Suite 400","Wilmington","DE",19808,"518210", 371831754, ,"Corporation"," "," "," ","Remote NY",,,,"NY",,1,0,1,0,48000,"ADD",04/11/2018," "
"PEOUS","TR6","Wipster, Inc"," ","2914 NE 50th Avenue",,"Portland","OR",97213,"511210", 611767101, ,"Corporation"," "," "," ","Remote NY",,,,"NY",,1,0,1,0,55000,"ADD",04/11/2018," "
"PEO03","MPY","Biomet NY, Inc."," ","200 Robbins Lane, Suite D3",,"Jericho","NY",11753,"423450", 451558136, ,"Corporation"," "," "," ","Biomet NY, Inc.-HQ","200 Robbins Lane","Suite D3","Jericho","NY",11753,22,10,22,10,828927,"ADD",04/11/2018," "
"PEOUS","KSH","Aiir Inc"," ","222 Broadway","19th Floor","New York","NY",10038,"541511", 352506112, ,"Corporation"," "," "," ","Aiir Services Inc-HQ","222 Broadway","19th Floor","New York","NY",10038,1,0,1,0,35100,"ADD",04/11/2018," "
"PEO02","GKD","The Seelig Group LLC"," ","1441 Broadway, Ste 2301",,"New York","NY",10022,"541611", 461541888, ,"Limited Liability Company"," "," "," ","The Seelig Group LLC-HQ","1441 Broadway, Ste 2301",,"New York","NY",10022,4,5,4,5,893500,"ADD",04/11/2018," "
"PEOUS","SKV","Pirum Inc."," ","WeWork c/o (Pirum Inc).","450 Lexington Ave","New York","NY",10017,"523999", 300886981, ,"Corporation"," "," "," ","Remote NY",,,,"NY",,1,0,1,0,150000,"ADD",04/11/2018," "
"PEO02","GPQ","Ironwood Capital Management"," ","One Market Plaza, Steuart Tower","Suite 2500","San Francisco","CA",94105,"523920", 911797297, ,"Corporation"," "," "," ","Remote NY",,,,"NY",,1,0,1,0,200000,"ADD",04/11/2018," "
"PEO02","JWJ","Twin Point Capital LLC"," ","335 Bryant St","2nd Floor","Palo Alto","CA",94301,"523920", 474933769, ,"Limited Liability Company"," "," "," ","Twin Point Capital LLC-HQ","152 West 57th Street","47th Floor","New York","NY",10019,4,2,4,2,2284825,"ADD",04/11/2018," "
"PEO02","GIG","GenePeeks, Inc."," ","175 Varick St",,"New York","NY",10014,"541511", 271455691, ,"Corporation"," "," "," ","NY Office","175 Varick St",,"New York","NY",10014,4,3,4,3,865250,"ADD",04/11/2018," "
"PEO02","JYP","Castle Placement, LLC"," ","54 West 40th Street",,"New York","NY",10018,"523120", 473435503, ,"Limited Liability Company"," "," "," ","Castle Placement, LLC-HQ","54 West 40th Street",,"New York","NY",10018,6,3,6,3,374862,"ADD",04/11/2018," "
"PEO06","Q61","3I PRODUCTS, INC"," ","3888 CHESTER HIGHWAY",,"LANCASTER","SC",29720,"314120", 474952622, ,"Corporation"," "," "," ","3I PRODUCTS NEW YORK LOCATION","391 KINGS HIGHWAY",,"VALLEY COTTAGE","NY",10989,1,1,1,1,280000,"ADD",04/11/2018," "
"PEO02","GPR","DLD ASSET MANAGEMENT, LP"," ","80 Broad Street","Suite 1600","New York","NY",10004,"523920", 800903622, ,"Limited Partnership"," "," "," ","DLD ASSET MANAGEMENT, LP-HQ","80 Broad Street","Suite 1600","New York","NY",10004,4,0,4,0,730000,"ADD",04/11/2018," "
"PEO02","GFH","Pacific International Recruitment, Inc."," ","315 W 36th Street","10th Floor","New York","NY",10018,"541612", 990364609, ,"Corporation"," "," "," ","Pacific International Recru-HQ","315 W 36th Street","10th Floor","New York","NY",10018,3,1,3,1,248600,"ADD",04/11/2018," "
"PEOUS","I2U","DipJar Inc"," ","105 Fifth Ave","Suite 8B","New York","NY",10003,"511210", 454016307, ,"Corporation"," "," "," ","DipJar Inc-HQ","105 Fifth Ave","Suite 8B","New York","NY",10003,2,0,2,0,62040,"ADD",04/11/2018," "
"PEO01","PJL","Biz-Effective Inc"," ","33 60th Street",,"New York","NY",10023,"519130", 300872113, ,"Corporation"," "," "," ","NY office","33 W 60th St","Suite 1003","New York","NY",10023,2,2,2,2,510000,"ADD",04/11/2018," "
"PEO01","I47","Uptime Energy, Inc."," ","7930 Alabama Avenue",,"Canoga Park","CA",91304,"424490", 770098391, ,"Corporation"," "," "," ","NY-sales",,,,"NY",,2,0,2,0,100000,"ADD",04/11/2018," "
"PEOUS","MDA","Sylo, Inc."," ","7 E. 14th St., Suite 829",,"New York","NY",10003,"541613", 383989107, ,"Corporation"," "," "," ","Sylo, Inc.-HQ","7 E. 14th St., Suite 829",,"New York","NY",10003,3,1,3,1,365800,"ADD",04/11/2018," "
"PEOUS","JOE","MediaWallah LLC"," ","100 Park Ave 16th floor",,"New York","NY",10017,"518210", 900899530, ,"Limited Liability Company"," "," "," ","MediaWallah-HQ","100 Park Ave 16th floor",,"New York","NY",10017,1,1,1,1,350000,"ADD",04/11/2018," "
"PEOUS","JES","Gregory E Lutz, MD, P.C."," ","62 East 88th St","Ground Floor","New York","NY",10128,"621111", 134086175, ,"Individual"," "," "," ","Lutz Clinic - HQ","62 East 88th St","Ground Floor","New York","NY",10128,7,5,7,5,2022967,"ADD",04/11/2018," "
