PF_CORP, COMPANY, LEGAL_NAME, DBA_NAME, ADDRESS1, ADDRESS2, CITY, STATE, POSTAL, NAICS, FEDERAL_EIN, STATE_DOL#, LEGAL_STATUS, CLIENT_PHONE, CLIENT_FAX, EMAIL_ADDR, FILING_DESCR, ADDRESS1_1, ADDRESS2_1, CITY_1, STATE_1, POSTAL_1, DBL_MALES, DBL_FEMALES, PFL_MALES, PFL_FEMALES, COVERED_ANNUAL_PAYROLL, STATUS, STATUS_DATE, CANCEL_REASON
"PEO01","KHM","YGEA Holding Co."," ","33 Irving Place","10th Floor","New York","NY",10003,"334413", 474322329, ,"Corporation"," "," "," ","Remote NY",,,,"NY",,0,1,0,1,52000,"ADDRESS",01/24/2018," "
"PEO01","DNV","Urban Chalet Inc."," ","100 Shoreline Highway","Suite B 125","Mill Valley","CA",94941,"541310", 453842258, ,"Corporation"," "," "," ","Remote NY",,,,"NY",,0,1,0,1,74000,"ADDRESS",01/24/2018," "
"PEOUS","HZO","Catalyst Lab Solutions LLC"," ","2255 Glades Road","Suite 324 A","Boca Raton","FL",33431,"621511", 471658667, ,"Limited Liability Company"," "," "," ","Remote NY",,,,"NY",,0,5,0,5,208807,"ADDRESS",01/24/2018," "
"PEOUS","IAW","ServiceChannel.com, Inc."," ","18 East 16th St","2nd Floor","New York","NY",10003,"519130", 113518847, ,"Corporation"," "," "," ","NYC Office HQ","18 East 16th Street","2nd Floor","New York","NY",10003,24,13,24,13,4352221,"ADDRESS",01/24/2018," "
"PEOUS","BH3","Crowd Computing Systems, Inc."," ","48 Wall Street","Suite 701","New York","NY",10005,"511210", 454148571, ,"Corporation"," "," "," ","New York","885 Third Avenue","Suite 2406","New York","NY",10022,36,10,36,10,7136000,"ADDRESS",01/24/2018," "
"PEOUS","L6N","Piksel Americas Inc."," ","2100 Powers Ferry Road SE","Suite 400","Atlanta","GA",30339,"519130", 582552449, ,"Corporation"," "," "," ","Remote NY",,,,"NY",,0,2,0,2,94393,"ADDRESS",01/24/2018," "
"PEOUS","OAS","WiseKey USA Inc"," ","731 James St","Suite 400","Syracuse","NY",13203,"334413", 980448252, ,"Corporation"," "," "," ","Remote NY",,,,"NY",,1,0,1,0,150000,"ADDRESS",01/24/2018," "
"PEOUS","OU7","SpaceFactory Inc."," ","335 Madison Avenue","4th Floor","New York","NY",10017,"541511", 812724288, ,"Corporation"," "," "," ","The HUB","335 Madison Ave","4/F","New York","NY",10017,5,2,5,2,429726,"ADDRESS",01/24/2018," "
"PEO02","NO3","Hywin Capital Management, LLC"," ","1540 Broadway","Suite 3930","New York","NY",10036,"523920", 352558215, ,"Limited Liability Company"," "," "," ","Hywin Capital Management-HQ","1540 Broadway","Suite 3930","New York","NY",10036,11,4,11,4,2435780,"ADDRESS",01/24/2018," "
"PEO01","DMN","Mobpartner Inc"," ","4151 Middlefield Road",,"Palo Alto","CA",94303,"541511", 412282756, ,"Corporation"," "," "," ","NY Office","205 East 42nd Street","20th Floor","New York","NY",10017,1,0,1,0,180000,"ADDRESS",01/24/2018," "
"PEO02","GKI","Sustainable Insight Capital Management LLC"," ","920 Broadway, 12th Floor",,"New York","NY",10010,"523930", 461602087, ,"Limited Liability Company"," "," "," ","New York NY 10019-4702","1350 AVENUE OF THE AMERICAS ST",,"New York","NY",10019-4702,4,4,4,4,1282500,"ADDRESS",01/24/2018," "
"PEO01","CU7","SocialSign.in, Inc."," ","26 Valleywood Rd.",,"Cos Cob","CT",06807,"541511", 454362053, ,"Corporation"," "," "," ","SocialSign.in Inc HQ","248 Route 25A","Suite 24","East Setauket","NY",11733,2,0,2,0,280000,"ADDRESS",01/24/2018," "
"PEO02","GXO","Hickey Smith LLP"," ","23 E Colorado Blvd",,"Pasadena","CA",91105,"541110", 464134991, ,"Limited Liability Partnership"," "," "," ","New York NY 10075","332 E 77th Street",,"New York","NY",10075,2,8,2,8,770836,"ADDRESS",01/24/2018," "
"PEO01","C82","The Faction Group LLC"," ","1660 Lincoln Street","Suite 1600","Denver","CO",80264,"511210", 205117645, ,"Limited Liability Company"," "," "," ","New York Office","100 Williams St",,"New York","NY",10038,1,0,1,0,140000,"ADDRESS",01/24/2018," "
"PEOUS","D0T","Ironsource USA, Inc."," ","17 Bluxome Street",,"San Francisco","CA",94107,"511210", 452458144, ,"Corporation"," "," "," ","NY Office","180 Varick Street","Suite 1334","New York","NY",10014,6,3,6,3,949000,"ADDRESS",01/24/2018," "
"PEOUS","PNT","SCMP US, LLC"," ","142 W 57th Street","11th Floor","New York","NY",10019,"511110", 820668804, ,"Limited Liability Company"," "," "," ","The South China Morning Pos-HQ","142 W 57th Street","11th Floor","New York","NY",10019,5,1,5,1,783956,"ADDRESS",01/24/2018," "
"PEO02","G98","The Pershing Square Foundation"," ","601 West 26th St, Ste 325-30",,"New York","NY",10001,"813211", 208068401, ,"Corporation"," "," "," ","New York NY 10019","888 Seventh Avenue","42nd Floor","New York","NY",10019,1,4,1,4,810000,"ADDRESS",01/24/2018," "
"PEO02","GCX","Candlewood Partners, LLC"," ","600 Superior Ave. E.","Suite 1800","Cleveland","OH",44114,"523920", 473217270, ,"Limited Liability Company"," "," "," ","New York           NY 10020-51","600 Fifth Avenue","26th Floor","New York","NY",10020,3,1,3,1,130421,"ADDRESS",01/24/2018," "
"PEO02","MEU","Rebel Mouse Inc."," ","100 Crosby Street","Suite 308","New York","NY",10012,"519130", 453726790, ,"Corporation"," "," "," ","Remote NY",,,,"NY",,2,3,2,3,525100,"ADDRESS",01/24/2018," "
"PEO02","GCV","Ostra Capital Management, LLC"," ","2180 Sand Hill Road","Suite 320","Menlo Park","CA",94025,"523920", 450500357, ,"Limited Liability Company"," "," "," ","BK Office","195 Montague St","Suite 1013","Brooklyn","NY",11201,1,0,1,0,87500,"ADDRESS",01/24/2018," "
"PEOUS","S41","Mobivity Inc."," ","55 N Arizona Place","Suite 310","Chandler","AZ",85225,"519130", 203619515, ,"Corporation"," "," "," ","Remote NY","2273 Dalton Drive",,"Cortlandt Manor","NY",10567,1,0,1,0,150000,"ADDRESS",01/24/2018," "
"PEOUS","DII","Mary's Meals USA, Inc."," ","75 Orchard Street",,"Bloomfield","NJ",07003,"813319", 331215331, ,"Corporation"," "," "," ","Remote NY Home",,,,"NY",,0,1,0,1,100000,"ADDRESS",01/24/2018," "
"PEO02","GPM","Kora Management LP"," ","55 Prospect Street","Suite 10","Brooklyn","NY",11201,"523920", 464269389, ,"Limited Partnership"," "," "," ","Brooklyn           NY 11201-14","55 PROSPECT ST STE 310",,"Brooklyn","NY",11201-1497,4,3,4,3,725000,"ADDRESS",01/24/2018," "
"PEO01","J4Y","eProfit Partners, LLC"," ","116 West 23rd Street","Suite 500","New York","NY",10011,"519130", 274661883, ,"Limited Liability Company"," "," "," ","Remote NY",,,,"NY",,0,1,0,1,26000,"ADDRESS",01/24/2018," "
"PEOUS","79I","Scality, Inc"," ","555 California Street","Suite 3050","San Francisco","CA",94104,"334614", 272113279, ,"Corporation"," "," "," ","BofA- NY","222 Broadway",,"New York","NY",10038,2,1,2,1,434618,"ADDRESS",01/24/2018," "
"PEOUS","OI6","Force Optimized, LLC"," ","5631 Palmer Way","Suite C","Carlsbad","CA",92010,"541511", 455236119, ,"Limited Liability Company"," "," "," ","Remote NY",,,,"NY",,2,4,2,4,624800,"ADDRESS",01/24/2018," "
"PEO02","GOT","Robert A. Belfer"," ","927 Fifth Avenue",,"New York","NY",10021,"814110", 815009935, ,"Individual"," "," "," ","Remote NY",,,,"NY",,1,1,1,1,148460,"ADDRESS",01/24/2018," "
"PEO02","GPU","Exzac, Inc."," ","185 Hudson Street","Harborside 5","Jersey City","NJ",07311,"541512", 263374864, ,"Corporation"," "," "," ","New York NY 10128-3278","1702 2ND AVE","APT 4A","New York","NY",10128-3278,45,14,45,14,7260000,"ADDRESS",01/24/2018," "
"PEOUS","PEB","Aircall.IO, Inc"," ","33 West 17th Street","5th Floor","New York","NY",10011,"511210", 471062986, ,"Corporation"," "," "," ","NYC Office","33 W 17th street",,"New York City","NY",10011,14,5,14,5,1602000,"ADDRESS",01/24/2018," "
"PEO02","GHA","Online Computers and Communications, LLC."," ","PO BOX 428",,"Florham Park","NJ",07932,"511210", 455501109, ,"Limited Liability Company"," "," "," ","Remote NY",,,,"NY",,2,0,2,0,175000,"ADDRESS",01/24/2018," "
"PEOUS","TA2","edBridge Partners LLC"," ","115 East 34th","Suite 1900","New York","NY",10156,"611710", 352481559, ,"Corporation"," "," "," ","Remote NY",,,,"NY",,1,2,1,2,210000,"ADDRESS",01/24/2018," "
"PEOUS","DWL","CreativeWorx Corp."," ","459 Columbus St","Suite 705","New York","NY",10024,"511210", 451439296, ,"Corporation"," "," "," ","CreativeWorx HQ","222 Broadway","19th floor","New York","NY",10038,1,0,1,0,120000,"ADDRESS",01/24/2018," "
"PEO02","GHE","Crux Informatics, Inc."," ","600 Montgomery Street","Floor 3","San Francisco","CA",94111,"519130", 822209736, ,"Corporation"," "," "," ","New York NY 10152","375 Park Ave","Floor 21","New York","NY",10152,2,0,2,0,750000,"ADDRESS",01/24/2018," "
"PEOUS","5X9","TSI USA, LLC"," ","8111 Lyndon B Johnson Freeway","Suite 900","Dallas","TX",75251,"561510", 352532145, ,"Limited Liability Company"," "," "," ","TSI USA, LLC - Remote NY",,,,"NY",,0,2,0,2,89502,"ADDRESS",01/24/2018," "
"PEOUS","53X","JLM Pacific Epoch LLC"," ","1355 NW Everett St","Suite 100","Portland","OR",97209,"523930", 205495433, ,"Limited Liability Company"," "," "," ","JLM Pacific Epoch Remote NY",,,,"NY",,2,1,2,1,252000,"ADDRESS",01/24/2018," "
"PEO01","BC6","Performance Horizon, Inc."," ","101 California Street","Suite 1975","San Francisco","CA",94111,"541511", 274194494, ,"Corporation"," "," "," ","New York Office","450 Lexington Avenue","4th Floor","New York","NY",10017,4,3,4,3,808900,"ADDRESS",01/24/2018," "
"PEO03","MNU","RIA in a Box, LLC."," ","125 Maiden Lane","Suite 15C","New York","NY",10038,"523920", 453858207, ,"Limited Liability Company"," "," "," ","New York, NY","15 W 26th St 4th Floor",,"New York","NY",10010,15,7,15,7,1758000,"ADDRESS",01/24/2018," "
"PEOUS","95H","Compassion and Choices"," ","4224 NE Halsey Street","Suite 335","Portland","OR",97213,"813319", 841328829, ,"Corporation"," "," "," ","Troy, NY, Remote",,,,"NY",,1,4,1,4,328215,"ADDRESS",01/24/2018," "
"PEO02","FYT","Comvest Advisors, LLC"," ","CityPlace Tower","525 Okeechobee Blvd.","W. Palm Beach","FL",33401,"523930", 134195688, ,"Limited Liability Company"," "," "," ","NYC 5th Ave","555 5th Ave","19th Floor","New York","NY",10037,0,1,0,1,175000,"ADDRESS",01/24/2018," "
"PEOUS","JCZ","MurphyCobb International USA, Inc."," ","401 Park Avenue South",,"New York","NY",10016,"541810", 460522492, ,"Corporation"," "," "," ","Remote  NY",,,,"NY",,0,1,0,1,145000,"ADDRESS",01/24/2018," "
"PEOUS","D8W","Parsable, Inc."," ","425 2nd Street","Suite 250","San Francisco","CA",94107,"541511", 463258168, ,"Corporation"," "," "," ","Remote NY",,,,"NY",,1,0,1,0,130000,"ADDRESS",01/24/2018," "
"PEOUS","36T","Paul Capital Advisors LLC"," ","575 Market St","Suite 2500","San Francisco","CA",94105,"523910", 200846452, ,"Limited Liability Company"," "," "," ","Remote NY- DdeWeese",,,,"NY",,1,0,1,0,100000,"ADDRESS",01/24/2018," "
"PEO01","K74","TigerBeat Media LLC"," ","135 E 57th Street","c/o WeWork/ Merrill Greulich","New York","NY",10022,"519130", 473752355, ,"Limited Liability Company"," "," "," ","Remote NY",,,,"NY",,0,1,0,1,120000,"ADDRESS",01/24/2018," "
"PEO02","FZ8","Navitas Life Sciences Inc"," ","502 Carnegie Center","Suite 100","Princeton","NJ",08540,"541690", 911677819, ,"Corporation"," "," "," ","Remote NY",,,,"NY",,0,1,0,1,111240,"ADDRESS",01/24/2018," "
"PEOUS","CN7","gamigo Inc."," ","311 California St","Suite 300","San Francisco","CA",94104,"519130", 364674088, ,"Corporation"," "," "," ","Remote NY",,,,"NY",,0,1,0,1,33600,"ADDRESS",01/24/2018," "
"PEOUS","IT2","Aptible Inc."," ","220 NW 8th Ave",,"Portland","OR",97209,"511210", 462594266, ,"Corporation"," "," "," ","Remote NY",,,,"NY",,0,1,0,1,120000,"ADDRESS",01/24/2018," "
"PEO01","KGQ","AVFX INC"," ","96 Holton Street",,"Boston","MA",02135,"512110", 042846372, ,"Corporation"," "," "," ","Part Time On Call New York","NY MTA P0023 Short-Term Event Locations",,,"NY",,13,0,13,0,31460,"ADDRESS",01/24/2018," "
"PEO01","JN1","Ueno LLC"," ","1263 Mission Street","3rd Floor","San Francisco","CA",94103,"541511", 352513178, ,"Limited Liability Company"," "," "," ","Ueno NY Office","434 Broadway","Floor 3","New York","NY",10013,5,5,5,5,1361600,"ADDRESS",01/24/2018," "
"PEOUS","L1M","Persistent Systems Inc."," ","2055 Laurelwood Rd","Suite 210","Santa Clara","CA",95054,"541511", 770584954, ,"Corporation"," "," "," ","CLS Bank - Client Location","32 Old Slip","23rd Flr","New York","NY",10015,14,0,14,0,1538031,"ADDRESS",01/24/2018," "
"PEO01","CCB","ModelSolv, Inc."," ","42 Donald Drive","Suite #360","Hastings On Hudson","NY",10706,"541511", 273611216, ,"Corporation"," "," "," ","Dobbs Ferry Office","145 Palisade Street","Suite 360","Dobbs Ferry","NY",10522,1,0,1,0,35500,"ADDRESS",01/24/2018," "
"PEOUS","5QJ","Seeking Alpha Inc."," ","52 Vanderbilt Avenue","Floor 13","New York","NY",10017-3808,"519130", 204394400, ,"Corporation"," "," "," ","Seeking Alpha Inc.-Office NY","231 W 29th Street 9th Floor",,"New York","NY",10001,11,12,11,12,2381700,"ADDRESS",01/24/2018," "
"PEOUS","DM3","Medical Records Exchange, LLC"," ","45 N Main Street",,"Hatfield","PA",19440,"519130", 455574875, ,"Limited Liability Company"," "," "," ","Remote NY",,,,"NY",,2,0,2,0,88000,"ADDRESS",01/24/2018," "
"PEO01","DZ8","Ona Systems, Inc."," ","87 John Fay Rd","Unit 303","South Burlington","VT",05403,"519130", 383940780, ,"Corporation"," "," "," ","Remote NY",,,,"NY",,2,0,2,0,180000,"ADDRESS",01/24/2018," "
"PEO01","CBI","HTS (USA), Inc."," ","850 Third Avenue","18th Floor","New York","NY",10022,"541512", 800735464, ,"Corporation"," "," "," ","Remote NY","505 Park Avenue","21st Floor","New York","NY",10022,1,0,1,0,95000,"ADDRESS",01/24/2018," "
