"ny_dbl_record_id","pf_corp","company","legal_name","dba_name","company_address1","company_address2","company_city","company_state","company_zip","naics","federal_ein","state_dol","legal_status","client_phone","client_fax","email_addr","filing_descr","location_address1","location_address2","location_city","location_state","location_zip","dbl_males","dbl_females","pfl_males","pfl_females","covered_annual_payroll","status","status_date","cancel_reason"
30,PEOUS,"6H9",Viceroy Administrative Services LLC, ,"135 West 50th Street","18th Floor",New York,NY,"10020","523920", 800477902, ,Limited Liability Company, , , ,Viceroy Administrative Serv-HQ,"135 West 50th Street","18th Floor",New York,NY,"10020",4,3,4,3,284555,CANCEL,2018-01-23,Client's Request
31,PEOUS,E8Z,Gigzolo Inc., ,"162 W 54th Street",Suite 2C,New York,NY,"10019","519130", 461139848, ,Corporation, , , ,Gigzolo-HQ,"162 W 54th Street",Suite 2C,New York,NY,"10019",3,0,3,0,89550,CANCEL,2018-01-23,Client's Request
32,PEOUS,OLU,The Cat Doctor Veterinary Hospital P.C., ,"290 Denton Ave","2221 Hillside Avenue",New Hyde Park,NY,"11040","541940", 464198926, ,Corporation, , , ,Cat Doctor Veterinary Hospi-HQ,"290 Denton Ave","2221 Hillside Avenue",New Hyde Park,NY,"11040",4,4,4,4,312421,ADD,2018-01-23, 
33,PEO01,DXQ,"Snowflake Computing, Inc.", ,"101 South Ellsworth",Suite 350,San Mateo,CA,"94401","541511", 460636374, ,Corporation, , , ,New York,null,null,null,NY,null,2,1,2,1,460000,CANCEL,2018-01-23,Client's Request
34,PEO01,HTH,"Head in the Cloud, Inc.", ,"220A Twin Dolphin Drive",null,Redwood City,CA,"94065","541512", 451219093, ,Corporation, , , ,Remote NY,null,null,null,NY,null,5,1,5,1,397440,ADD,2018-01-23, 
35,PEOUS,LZS,"Primary Insight, LLC", ,"335 Madison Avenue","16th Floor",New York,NY,"10007","541611", 264486426, ,Limited Liability Company, , , ,Primary Insight LLC-HQ,"335 Madison Avenue","16th Floor",New York,NY,"10007",10,5,10,5,988500,ADD,2018-01-23, 
36,PEOUS,MHU,Matrix Electrical Contracting Inc., ,"50 Broadway","23rd Floor",New York,NY,"10004","238210", 161774627, ,Corporation, , , ,Matrix Electrical Contracti,"50 Broadway","23rd Floor",New York,NY,"10004",357,9,357,9,18696246,ADD,2018-01-23, 
37,PEOUS,IRP,BKForex LLC, ,"233 West 77th Street",Suite 11G,New York,NY,"10024","523110", 455456350, ,Limited Liability Company, , , ,BKForex LLC-HQ,"233 West 77th Street",Suite 11G,New York,NY,"10024",1,0,1,0,36000,ADD,2018-01-23, 
38,PEO02,LEE,Australis Partners LLC, ,"675 Third Avenue",Suite 816,New York,NY,"10017","525990", 472369399, ,Limited Liability Company, , , ,HQ,"675 Third Avenue",Suite 816,New York,NY,"10017",2,0,2,0,500000,ADD,2018-01-23, 
39,PEO02,G5V,Barlow Partners Inc., ,"825 Third Avenue","31st Floor",New York,NY,"10022","523930", 133744242, ,Corporation, , , ,Barlow Partners Inc.-HQ,"825 Third Avenue","31st Floor",New York,NY,"10022",6,5,6,5,1670801,ADD,2018-01-23, 
40,PEO01,JPM,VITRORobertson LLC, ,"2305 Historic Decatur Rd",Suite 205,San Diego,CA,"92106","541810", 331096373, ,Limited Liability Company, , , ,Remote NY,null,null,null,NY,null,1,0,1,0,210000,ADD,2018-01-23, 
41,PEOUS,II0,Pico Imports Corp., ,"463 Seventh Avenue",Room 1500,New York,NY,"10018","424320", 261711464, ,Corporation, , , ,Pico Imports Corporation-HQ,"463 Seventh Avenue",Room 1500,New York,NY,"10018",6,4,6,4,1299900,ADD,2018-01-23, 
42,PEOUS,CCC,"Metanautix, Inc.", ,"2595 E Bayshore Road",Suite 200,Palo Alto,CA,"94303","541511", 454446696, ,Corporation, , , ,Remote-New York,null,null,null,NY,null,1,0,1,0,156000,CANCEL,2018-01-23,Client's Request
43,PEO02,FY2,Tremblant Capital Group, ,"767 5th Ave.",Floor 12A,New York,NY,"10153","523930", 830349287, ,Corporation, , , ,Tremblant Capital Group-HQ,"767 5th Ave.",Floor 12A,New York,NY,"10153",59,32,59,32,13944107,ADD,2018-01-23, 
44,PEOUS,IZ8,Rawnet Inc., ,"379 West Broadway",null,New York,NY,"10012","541613", 300852912, ,Corporation, , , ,Rawnet Inc.-HQ,"379 West Broadway",null,New York,NY,"10012",1,0,1,0,87500,CANCEL,2018-01-23,Client's Request
45,PEOUS,MJF,"Cherre, Inc.", ,"1460 Broadway",null,New York,NY,"10036","511210", 371808571, ,Corporation, , , ,"Cherre, Inc.-HQ","1460 Broadway",null,New York,NY,"10036",3,1,3,1,225000,ADD,2018-01-23, 
46,PEOUS,PDE,"MKM Ventures, LLC", ,"7 Dana Road",Room 101,Valhalla,NY,"10595","334510", 454292883, ,Limited Liability Company, , , ,"MKM Ventures, LLC-HQ","7 Dana Road",Room 101,Valhalla,NY,"10595",6,0,6,0,576873,ADD,2018-01-23, 
47,PEOUS,P4P,"Runway Management Services, Inc.", ,"205 N Michigan Ave",Suite 930,Chicago,IL,"60601","523920", 814833026, ,Corporation, , , ,New York Office,"110 Greene Street",Suite 604,New York,NY,"10012",6,1,6,1,945000,ADD,2018-01-23, 
48,PEO01,DRM,The Flatiron Grp LLC, ,"55 Fifth Avenue","18th Floor",New York,NY,"10003","561312", 202398412, ,Limited Liability Company, , , ,The Flatiron Grp LLC-HQ,"55 Fifth Avenue","18th Floor",New York,NY,"10003",2,3,2,3,194090,ADD,2018-01-23, 
49,PEOUS,CF3,MDB LLC, ,"32 West 22nd Street","6th Floor",New York,NY,"10010","561920", 262088569, ,Limited Liability Company, , , ,GreenPearl-HQ,"32 West 22nd Street","6th Floor",New York,NY,"10010",29,58,29,58,4993052,ADD,2018-01-23, 
50,PEOUS,"577","Media Publisher, Inc.", ,"2000 Powell St., Suite 1650",null,Emeryville,CA,"94608","541511", 810571411, ,Corporation, , , ,"Qumu, Inc.-Remote NY",null,null,null,NY,null,2,0,2,0,235000,CANCEL,2018-01-23,Client's Request
51,PEOUS,"5GX",Transcend Medical Inc., ,"127 Independence Drive",null,Menlo Park,CA,"94025","541713", 203554479, ,Corporation, , , ,Remote NY,null,null,null,NY,null,1,0,1,0,272745,ADD,2018-01-23, 
52,PEO01,E1Q,"Home Swing, LLC", ,"4171 Suisun Valley Road",Suite L,Fairfield,CA,"94585","511210", 471201817, ,Limited Liability Company, , , ,Remote NY,null,null,null,NY,null,1,0,1,0,56162,ADD,2018-01-23, 
53,PEOUS,NK4,"Canidium, LLC", ,"3801 Kirby Dr",Suite 456,Houston,TX,"77098","541611", 262267289, ,Limited Liability Company, , , ,Remote NY,null,null,null,NY,null,1,1,1,1,212486,ADD,2018-01-23, 
54,PEOUS,DX7,The Financial Clinic, ,"254 36th Street",Suite B321,Brooklyn,NY,"11232","813319", 760833915, ,Corporation, , , ,The Financial Clinic-HQ,"254 36th Street",Suite B321,Brooklyn,NY,"11232",70,135,70,135,7664229,ADD,2018-01-23, 
55,PEOUS,BGV,"Dubblee Media, Inc.", ,"33 West 26th Street","3rd Floor",New York,NY,"10010","519130", 275038931, ,Corporation, , , ,Lover.ly-HQ,"33 West 26th Street","3rd Floor",New York,NY,"10010",9,28,9,28,1006810,CANCEL,2018-01-23,Client's Request
56,PEO05,QCA,"VAL-PAK OF STATEN ISLAND, INC", ,"4553 ARTHUR KILL RD",null,STATEN ISLAND,NY,"10309","541613", 133996789, ,Corporation, , , ,"VAL-PAK OF STATEN ISLAND, I-HQ","4553 ARTHUR KILL RD",null,STATEN ISLAND,NY,"10309",10,11,10,11,806328,ADD,2018-01-23, 
57,PEO05,QK2,KSI TRADING CORPORATION, ,"100 A WADE AVE",null,SOUTH PLAINFIELD,NJ,"07080","423120", 222809136, ,Corporation, , , ,KSI TRADING- 31NY,"1966  C BROAD HOLLOW RD",null,FARMINGDALE,NY,"11735",2,0,2,0,56160,ADD,2018-01-23, 
58,PEOUS,E4F,Nishkama Capital LLC, ,"489 5th Avenue",Suite 24B,New York,NY,"10017","525910", 462212693, ,Limited Liability Company, , , ,Nishkama Capital LLC-HQ,"489 5th Avenue",Suite 24B,New York,NY,"10017",5,0,5,0,772000,ADD,2018-01-23, 
59,PEO01,CZ7,"Eleos Technologies, LLC", ,"200 N Main Street",null,Greenville,SC,"29601","541511", 452204267, ,Limited Liability Company, , , ,Remote NY,null,null,null,NY,null,1,0,1,0,170000,ADD,2018-01-23, 
60,PEOUS,CJ7,"Movio Network, Inc", ,"260 Newport Center Drive",Suite 505,Newport Beach,CA,"92660","519130", 461098838, ,Corporation, , , ,New York,"399 Park Avenue",null,New York,NY,"10022",1,0,1,0,180000,CANCEL,2018-01-23,Client's Request
61,PEOUS,LKQ,"Grability, Inc.", ,"379 West Broadway",Ste. 506,New York,NY,"10012","511210", 463105409, ,Corporation, , , ,Grability-HQ,"379 West Broadway",Ste. 506,New York,NY,"10012",7,0,7,0,509000,ADD,2018-01-23, 
62,PEOUS,IK0,"Bigfoot Biomedical, Inc.", ,"1561 Buckeye Drive",null,Milpitas,CA,"95035","511210", 472428120, ,Corporation, , , ,New York Office,"150 East 58th St","25th Floor",New York,NY,"10155",4,4,4,4,936725,ADD,2018-01-23, 
63,PEOUS,JCG,Orchard View Capital Advisors LP, ,"485 Madison Avenue",Suite 711,New York,NY,"10022","523920", 473039552, ,Limited Partnership, , , ,Orchard View Capital Adviso-HQ,"485 Madison Avenue",Suite 711,New York,NY,"10022",4,0,4,0,425100,ADD,2018-01-23, 
64,PEOUS,OYI,"Tendr, Inc.", ,"47 Bergen Street 3rd FL",null,Brooklyn,NY,"11201","519130", 461729568, ,Corporation, , , ,"Tendr, Inc.-HQ","47 Bergen Street 3rd FL",null,Brooklyn,NY,"11201",2,1,2,1,345000,ADD,2018-01-23, 
65,PEOUS,OWF,Rocket.Chat Technologies Corp., ,"2711 Centerville Road",Suite 400,Wilmington,DE,"19808","518210", 371831754, ,Corporation, , , ,Remote NY,null,null,null,NY,null,1,0,1,0,48000,ADD,2018-01-23, 
66,PEOUS,BWT,"Primary Care Medical Practice of NY, P.C.", ,"408 Jay Street","4th Floor",Brooklyn,NY,"11201","621111", 460541624, ,Corporation, , , ,Primary Care-HQ,"408 Jay Street","4th Floor",Brooklyn,NY,"11201",2,18,2,18,2386482,CANCEL,2018-01-23,Client's Request
67,PEOUS,TR6,"Wipster, Inc", ,"2914 NE 50th Avenue",null,Portland,OR,"97213","511210", 611767101, ,Corporation, , , ,Remote NY,null,null,null,NY,null,1,0,1,0,55000,ADD,2018-01-23, 
68,PEO03,MPY,"Biomet NY, Inc.", ,"200 Robbins Lane, Suite D3",null,Jericho,NY,"11753","423450", 451558136, ,Corporation, , , ,"Biomet NY, Inc.-HQ","200 Robbins Lane",Suite D3,Jericho,NY,"11753",45,19,45,19,1566353,ADD,2018-01-23, 
69,PEO02,GKD,The Seelig Group LLC, ,"1441 Broadway, Ste 2301",null,New York,NY,"10022","541611", 461541888, ,Limited Liability Company, , , ,The Seelig Group LLC-HQ,"1441 Broadway, Ste 2301",null,New York,NY,"10022",6,7,6,7,1016300,ADD,2018-01-23, 
70,PEOUS,PNR,"Global Equity Fintech, Inc.", ,"945 Liberty Avenue",Suite 500,Pittsburgh,PA,"15222","519130", 812312594, ,Corporation, , , ,NY Office,"54 W 40th St",null,New York,NY,"10018",5,0,5,0,548000,CANCEL,2018-01-23,Client's Request
71,PEOUS,SKV,Pirum Inc., ,WeWork c/o (Pirum Inc).,"450 Lexington Ave",New York,NY,"10017","523999", 300886981, ,Corporation, , , ,Remote NY,null,null,null,NY,null,1,0,1,0,150000,ADD,2018-01-23, 
72,PEOUS,KEI,"STAT-MD, LLC", ,"1784 Uinta Way",Ste E-2,Park City,UT,"84098","561110", 473099769, ,Limited Liability Company, , , ,Remote New York,null,null,null,NY,null,1,1,1,1,72125,ADD,2018-01-23, 
73,PEOUS,LQN,Pressed Platform INC, ,"911 Lincoln Place",null,Boulder,CO,"80302","518210", 475403898, ,Corporation, , , ,Remote NY,null,null,null,NY,null,2,0,2,0,207223,CANCEL,2018-01-23,Client's Request
74,PEO02,GIG,"GenePeeks, Inc.", ,"175 Varick St",null,New York,NY,"10014","541511", 271455691, ,Corporation, , , ,NY Office,"175 Varick St",null,New York,NY,"10014",14,9,14,9,2721500,ADD,2018-01-23, 
75,PEO02,JYP,"Castle Placement, LLC", ,"54 West 40th Street",null,New York,NY,"10018","523120", 473435503, ,Limited Liability Company, , , ,"Castle Placement, LLC-HQ","54 West 40th Street",null,New York,NY,"10018",8,3,8,3,494862,ADD,2018-01-23, 
76,PEO01,B59,"Mobile Commons, Inc.", ,"45 Main Street",Suite 520,Brooklyn,NY,"11201","511210", 263770488, ,Corporation, , , ,"Mobile Commons, Inc.-HQ","45 Main Street",Suite 520,Brooklyn,NY,"11201",24,11,24,11,3265167,CANCEL,2018-01-23,Client's Request
77,PEOUS,JHT,Ultra Capital LLC, ,"473 Jackson Street","3rd Floor",San Francisco,CA,"94111","523910", 473060337, ,Limited Liability Company, , , ,Remote NY,null,null,null,NY,null,2,0,2,0,245000,ADD,2018-01-23, 
78,PEOUS,"6NZ",Voras Capital Management LP, ,"450 Park Ave","14th fl",New York,NY,"10022","523140", 800502322, ,Limited Partnership, , , ,Voras Capital Management LP-HQ,"450 Park Ave","14th fl",New York,NY,"10022",11,2,11,2,1883333,CANCEL,2018-01-23,Client's Request
79,PEOUS,AE5,"Duncan Solutions, Inc.", ,"633 W. Wisconsin Ave.",Suite 1600,Milwaukee,WI,"53203","561440", 911938094, ,Corporation, , , ,Remote NY,null,null,null,NY,null,5,1,5,1,1037863,CANCEL,2018-01-23,Client's Request
80,PEOUS,JOE,MediaWallah LLC, ,"100 Park Ave 16th floor",null,New York,NY,"10017","518210", 900899530, ,Limited Liability Company, , , ,MediaWallah-HQ,"100 Park Ave 16th floor",null,New York,NY,"10017",4,1,4,1,582500,ADD,2018-01-23, 
81,PEO03,MR5,"Superior Homes of Central New York, Inc.", ,"4850 State Rte. 69",null,Rome,NY,"13440","238990", 161392693, ,Corporation, , , ,Superior Homes - HQ,"4850 State Rte. 69",null,Rome,NY,"13440",5,1,5,1,104728,ADD,2018-01-23, 
82,PEOUS,D0T,"Ironsource USA, Inc.", ,"17 Bluxome Street",null,San Francisco,CA,"94107","511210", 452458144, ,Corporation, , , ,Home Office NY,"38 Cambridge Place",null,Brooklyn,NY,"11238",17,7,17,7,2860995,ADD,2018-01-23, 
83,PEOUS,D5L,"Brain Balance Holdings, Inc.", ,"1777 N California Boulevard",Suite 330,Walnut Creek,CA,"94596","533110", 462530277, ,Corporation, , , ,HAUPPAUGE,"350 Motor Parkway",Suite LL1,Hauppauge,NY,"11788",2,14,2,14,939579,CANCEL,2018-01-23,Client's Request
84,PEOUS,NOI,"Airlink Tours and Travel, Inc.", ,"2201 NE 52nd Street",Suite 202,Lighthouse Point,FL,"33064","561510", 650682146, ,Corporation, , , ,"Airlink Tours and Travel, I-HQ","2201 NE 52nd Street",Suite 202,Lighthouse Point,NY,"33064",2,1,2,1,116000,ADD,2018-01-23, 
85,PEOUS,T9F,Skilitics LLC, ,"261 Madison Avenue","9th Floor",New York,NY,"10016","511210", 990385328, ,Corporation, , , ,Skilitics LLC-HQ,"261 Madison Avenue","9th Floor",New York,NY,"10016",1,0,1,0,130000,ADD,2018-01-23, 
86,PEOUS,LAN,"GEER Strategies, LLC", ,c/o Rich & Bander,"15 West 28th Street",New York,NY,"10001","519130", 461765261, ,Limited Liability Company, , , ,"GEER Strategies, LLC-HQ",c/o Rich & Bander,"15 West 28th Street",New York,NY,"10001",2,3,2,3,665000,CANCEL,2018-01-23,Client's Request
87,PEO02,PIR,"Epsilon Health Investors, LLC", ,"250 Park Avenue",Suite 1105,New York,NY,"10177","523920", 812912549, ,Corporation, , , ,"Epsilon Health Investors, L-HQ","250 Park Avenue",Suite 1105,New York,NY,"10177",0,2,0,2,178860,CANCEL,2018-01-23,Client's Request
88,PEOUS,L83,"JDX Consulting, Inc.", ,"12 West 37th Street",null,New York,NY,"10018","541611", 471388044, ,Corporation, , , ,JDX Consulting-HQ,"12 West 37th Street",null,New York,NY,"10018",47,58,47,58,6670628,ADD,2018-01-23, 
89,PEO02,H1D,"Aithon Capital Management, LP", ,"501 Madison Ave, 8th Floor",null,New York,NY,"10022","523920", 364795882, ,Limited Partnership, , , ,"Aithon Capital Management, -HQ","501 Madison Ave, 8th Floor",null,New York,NY,"10022",5,2,5,2,550000,CANCEL,2018-01-23,Client's Request
90,PEO02,FY5,"S.D. Daniels & CO., P.C.", ,"485 Madison Ave.","15th Floor",New York,NY,"10022","541211", 133801236, ,Corporation, , , ,"S.D. Daniels & CO., P.C.-HQ","485 Madison Ave","15th Floor",New York,NY,"10022",42,32,42,32,7681033,ADD,2018-01-23, 
91,PEO01,CQY,"Across Health North America, LLC", ,"14 Main Street",Suite 301,Madison,NJ,"07940","541613", 461071579, ,Corporation, , , ,Remote NY,null,null,null,NY,null,0,1,0,1,185000,CANCEL,2018-01-23,Client's Request
92,PEOUS,MFU,KMI Brands Inc, ,"1140 Bay St Suite 2C",null,Staten Island,NY,"10305","424210", 352461303, ,Corporation, , , ,KMI Brands Inc-HQ,"1140 Bay St Ste 2C",null,Staten Island,NY,"10305",0,2,0,2,136000,ADD,2018-01-23, 
93,PEOUS,DXL,High Peaks Productions Inc., ,"266 W 37th St Fl 16",null,New York,NY,"10018","512191", 272978872, ,Corporation, , , ,Snippies-HQ,"266 W 37th St Fl 16",null,New York,NY,"10018",14,13,14,13,1577700,ADD,2018-01-23, 
94,PEOUS,INK,"Starry, Inc.", ,"38 Chauncy Street",Suite 200,Boston,MA,"02111","541512", 472299616, ,Corporation, , , ,NYC,"307 Fifth Ave","16th Floor",New York,NY,"10016",29,16,29,16,5081384,ADD,2018-01-23, 
95,PEOUS,KD1,Low & Sons Inc, ,"580 5th Avenue",null,New York,NY,"10036","523130", 131886706, ,Corporation, , , ,Low & Sons Inc-HQ,"580 5th Avenue",null,New York,NY,"10036",0,3,0,3,201226,CANCEL,2018-01-23,Client's Request
96,PEO01,I4P,Katon Partners LLC, ,"2 Landmark Square",Suite 214,Stamford,CT,"06901","561311", 134216318, ,Corporation, , , ,NY Office,"32 Elm Place","2nd Floor",Rye,NY,"10580",21,64,21,64,1974180,CANCEL,2018-01-23,Client's Request
97,PEOUS,"71E","Three Pillars Recruiting, Inc.", ,"2250 North Druid Hills Road NE",Suite 229,Atlanta,GA,"30329","561311", 223976409, ,Corporation, , , ,NYC - Midtown West,"202 West 40th Street","3rd Floor",New York,NY,"10018",4,5,4,5,387862,ADD,2018-01-23, 
98,PEO02,S8O,"LH Capital Markets, LLC", ,"437 Madison Avenue","21st Floor",New York,NY,"10022","523920", 821252366, ,Limited Liability Company, , , ,"LH Capital Markets, LLC-HQ","437 Madison Avenue","21st Floor",New York,NY,"10022",2,0,2,0,350000,ADD,2018-01-23, 
99,PEOUS,LRV,Tandem Marketing Communications, ,"120 E 23rd Street","5th Floor",New York,NY,"10003","541613", 471650179, ,Corporation, , , ,Tandem Marketing Communicat-HQ,"120 E 23rd Street","5th Floor",New York,NY,"10003",2,3,2,3,252500,ADD,2018-01-23, 
100,PEOUS,KOQ,"Dalipe & Company, LLC", ,"32 Gramercy Park South",Apt 13E,New York,NY,"10003","561312", 264529950, ,Limited Liability Company, , , ,"Dalipe & Company, LLC-HQ","32 Gramercy Park South",Apt 13E,New York,NY,"10003",0,1,0,1,35100,ADD,2018-01-23, 
101,PEOUS,TPJ,"The Bail Project, Inc.", ,"11 29th Avenue",null,Los Angeles,CA,"90291","813319", 814985512, ,Corporation, , , ,Remote NY,null,null,null,NY,null,3,0,3,0,259995,ADD,2018-01-23, 
